Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,xG,xGA,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2014-04-16,22:00,Libertadores,Round of 16,Wed,Home,D,1,1,py Cerro Porteño,,,,,,Daniel Fedorczuk,Match Report,Leg 1 of 2,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-20,16:00,Série A,Matchweek 1,Sun,Away,W,2,1,Bahia,,9348.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-27,16:00,Série A,Matchweek 2,Sun,Home,D,1,1,São Paulo,,17530.0,,4-2-3-1,4-2-2-2,Wagner do Nascimento Magalhaes,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,21:00,Libertadores,Round of 16,Wed,Away,W,2,0,py Cerro Porteño,,,,,,Darío Ubríaco,Match Report,Leg 2 of 2; Cruzeiro won,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-03,18:30,Série A,Matchweek 3,Sat,Away,W,3,2,Ath Paranaense,,11877.0,,4-5-1,4-4-2,Elmo Alves Resende Cunha,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-07,21:00,Libertadores,Quarter-finals,Wed,Away,L,0,1,ar San Lorenzo,,,,,,Antonio Arias,Match Report,Leg 1 of 2,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-11,16:00,Série A,Matchweek 4,Sun,Away,L,1,2,Atlético Mineiro,,9048.0,,4-5-1,3-5-1-1,Heber Roberto Lopes,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-14,22:00,Libertadores,Quarter-finals,Wed,Home,D,1,1,ar San Lorenzo,,,,,,Martín Vázquez,Match Report,Leg 2 of 2; San Lorenzo won,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-17,18:30,Série A,Matchweek 5,Sat,Home,W,3,2,Coritiba,,11663.0,,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-21,21:00,Série A,Matchweek 6,Wed,Home,W,2,0,Sport Recife,,13679.0,,4-2-3-1,4-2-2-2,Felipe Gomes da Silva,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-25,18:30,Série A,Matchweek 7,Sun,Away,W,3,1,Internacional,,7541.0,,4-2-3-1,4-2-3-1,Paulo Henrique De Godoy Bezerra,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-28,22:00,Série A,Matchweek 8,Wed,Away,L,0,1,Corinthians,,17696.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-01,16:00,Série A,Matchweek 9,Sun,Home,W,3,0,Flamengo,,10283.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-17,21:00,Série A,Matchweek 10,Thu,Home,W,3,1,Vitória,,24156.0,,4-2-3-1,4-3-2-1,Péricles Bassols Pegado Cortez,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-20,16:00,Série A,Matchweek 11,Sun,Away,W,2,1,Palmeiras,,14970.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-26,18:30,Série A,Matchweek 12,Sat,Home,W,5,0,Figueirense,,21190.0,,4-2-3-1,4-1-2-1-2,Gilberto Rodrigues Castro Junior,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-02,18:30,Série A,Matchweek 13,Sat,Away,D,1,1,Botafogo (RJ),,13535.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-09,18:30,Série A,Matchweek 14,Sat,Away,D,0,0,Criciúma,,9521.0,,4-2-3-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-17,16:00,Série A,Matchweek 15,Sun,Home,W,3,0,Santos,,39215.0,,4-2-2-2,4-2-3-1,Leandro Pedro Vuaden,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-21,20:30,Série A,Matchweek 16,Thu,Home,W,1,0,Grêmio,,32294.0,,4-2-3-1,4-3-2-1,Flavio Rodrigues Guerra,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-24,18:30,Série A,Matchweek 17,Sun,Away,W,1,0,Goiás,,5163.0,,4-2-3-1,5-3-2,Francisco Carlos do Nascimento,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,18:30,Série A,Matchweek 18,Sat,Home,W,4,2,Chapecoense,,26682.0,,4-2-3-1,4-4-1-1,Dewson Fernando Freitas da Silva,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-07,16:00,Série A,Matchweek 19,Sun,Away,D,3,3,Fluminense,,27194.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,20:30,Série A,Matchweek 20,Thu,Home,W,2,1,Bahia,,20861.0,,4-2-3-1,4-5-1,Marcos Mateus Pereira,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-14,16:00,Série A,Matchweek 21,Sun,Away,L,0,2,São Paulo,,58627.0,,4-2-3-1,4-2-2-2,Leandro Pedro Vuaden,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,19:30,Série A,Matchweek 22,Wed,Home,W,2,0,Ath Paranaense,,17850.0,,4-2-3-1,3-4-3,Marcelo Aparecido Ribeiro De Souza,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-21,16:00,Série A,Matchweek 23,Sun,Home,L,2,3,Atlético Mineiro,,49534.0,,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24,19:30,Série A,Matchweek 24,Wed,Away,W,2,1,Coritiba,,9521.0,,4-2-3-1,4-3-2-1,Vinicius Furlan,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-27,18:30,Série A,Matchweek 25,Sat,Away,D,0,0,Sport Recife,,22248.0,,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-04,18:30,Série A,Matchweek 26,Sat,Home,W,2,1,Internacional,,51994.0,,4-2-3-1,4-3-2-1,Marcelo de Lima Henrique,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-08,22:00,Série A,Matchweek 27,Wed,Home,L,0,1,Corinthians,,32958.0,,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
