season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,Xg,Xga,Sota,Saves,Save%,Psxg,Psxg+/-,Cmp,Att,Cmp%,Totdist,Prgdist,Ast,Xag,Xa,Crspa,Prgp,Kp,Pass_3rd,Sw,Crs,Tb,Ck,Sca,Gca,Tkl,Tklw,Tkl_def_3rd,Tkl_att_3rd,Blocks,Int,Clr,Err,Touches_att_3rd,Prgc,Carries_att_3rd,Mis,Dis,Fls,Off,Recov,Won%,xG,xGA,SoTA,PSxG,PSxG+/-,TotDist,PrgDist,xAG,xA,CrsPA,PrgP,KP,pass_3rd,TB,CK,SCA,GCA,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Touches_Att_3rd,PrgC,Carries_Att_3rd
2014,2014-04-16,22:00,Libertadores,Round of 16,Wed,Home,D,1,1,py Cerro Porteño,,,,,Daniel Fedorczuk,Match Report,Leg 1 of 2,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-04-20,16:00,Série A,Matchweek 1,Sun,Away,W,2,1,Bahia,,9348.0,,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-04-27,16:00,Série A,Matchweek 2,Sun,Home,D,1,1,São Paulo,,17530.0,,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-04-30,21:00,Libertadores,Round of 16,Wed,Away,W,2,0,py Cerro Porteño,,,,,Darío Ubríaco,Match Report,Leg 2 of 2; Cruzeiro won,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-05-03,18:30,Série A,Matchweek 3,Sat,Away,W,3,2,Ath Paranaense,,11877.0,,4-5-1,Elmo Alves Resende Cunha,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-05-07,21:00,Libertadores,Quarter-finals,Wed,Away,L,0,1,ar San Lorenzo,,,,,Antonio Arias,Match Report,Leg 1 of 2,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-05-11,16:00,Série A,Matchweek 4,Sun,Away,L,1,2,Atlético Mineiro,,9048.0,,4-5-1,Heber Roberto Lopes,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-05-14,22:00,Libertadores,Quarter-finals,Wed,Home,D,1,1,ar San Lorenzo,,,,,Martín Vázquez,Match Report,Leg 2 of 2; San Lorenzo won,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-05-17,18:30,Série A,Matchweek 5,Sat,Home,W,3,2,Coritiba,,11663.0,,4-2-3-1,André Luiz de Freitas Castro,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-05-21,21:00,Série A,Matchweek 6,Wed,Home,W,2,0,Sport Recife,,13679.0,,4-2-3-1,Felipe Gomes da Silva,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-05-25,18:30,Série A,Matchweek 7,Sun,Away,W,3,1,Internacional,,7541.0,,4-2-3-1,Paulo Henrique De Godoy Bezerra,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
